	perc	lr_all_features	knn_all_features	lr_5_features	knn_5_features	lr_4_features	knn_4_features
0	10.0	85.57246376811595	82.39855072463769	84.91304347826086	81.39130434782608	85.07971014492753	82.89855072463769
1	20.0	84.0921985815603	84.34751773049646	84.3421985815603	84.18085106382979	84.68439716312056	82.42553191489361
2	40.0	86.41096491228069	86.53070175438597	85.4890350877193	86.07324561403509	85.99429824561403	87.03640350877193
3	50.0	87.23613445378152	85.69299719887955	86.46526610644257	85.19243697478991	86.86610644257703	85.7921568627451
4	75.0	86.31694599627562	85.53420235878336	84.93283674736189	84.70813159528244	86.13780260707635	85.556052141527
